"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 20 14:20:36 GMT 2022","Sun Feb 20 14:20:36 GMT 2022","168","test  suite1","","","","","ProdTest)Create invalid booking",""
"skipped","Sun Feb 20 14:20:36 GMT 2022","Sun Feb 20 14:20:36 GMT 2022","4","test  suite3","","","","","Delete booking - valid",""
"passed","Sun Feb 20 14:20:36 GMT 2022","Sun Feb 20 14:20:36 GMT 2022","211","test  suite1","","","","","ProdTest)Create valid booking",""
"skipped","Sun Feb 20 14:20:36 GMT 2022","Sun Feb 20 14:20:36 GMT 2022","0","test  suite3","","","","","Delete booking - non-existent",""
"skipped","Sun Feb 20 14:20:34 GMT 2022","Sun Feb 20 14:20:34 GMT 2022","0","test  suite5","","","","","Get booking ID by existent firstname and lastname",""
"skipped","Sun Feb 20 14:20:34 GMT 2022","Sun Feb 20 14:20:34 GMT 2022","4","test  suite5","","","","","Get all IDs",""
"passed","Sun Feb 20 14:20:35 GMT 2022","Sun Feb 20 14:20:35 GMT 2022","172","test  suite4","","","","","(ProdTest) Get specific invalid ID",""
"skipped","Sun Feb 20 14:20:34 GMT 2022","Sun Feb 20 14:20:34 GMT 2022","0","test  suite5","","","","","Get booking ID by existent firstname",""
"skipped","Sun Feb 20 14:20:34 GMT 2022","Sun Feb 20 14:20:34 GMT 2022","6","test  suite5","","","","","Partial update booking - firstname & lastname",""
"skipped","Sun Feb 20 14:20:34 GMT 2022","Sun Feb 20 14:20:34 GMT 2022","0","test  suite5","","","","","Get booking ID - empty checkout date header",""
"passed","Sun Feb 20 14:20:34 GMT 2022","Sun Feb 20 14:20:34 GMT 2022","271","test  suite2","","","","","(ProdTest):Create token - valid",""
"passed","Sun Feb 20 14:20:34 GMT 2022","Sun Feb 20 14:20:35 GMT 2022","174","test  suite2","","","","","(ProdTest):Create token - invalid username",""
"skipped","Sun Feb 20 14:20:35 GMT 2022","Sun Feb 20 14:20:35 GMT 2022","0","test  suite6","","","","","Update booking - non-existent",""
"skipped","Sun Feb 20 14:20:34 GMT 2022","Sun Feb 20 14:20:34 GMT 2022","1","test  suite5","","","","","Get booking ID - empty checkin date header",""
"skipped","Sun Feb 20 14:20:34 GMT 2022","Sun Feb 20 14:20:34 GMT 2022","0","test  suite5","","","","","Partial update booking - non-existent booking",""
"skipped","Sun Feb 20 14:20:34 GMT 2022","Sun Feb 20 14:20:34 GMT 2022","1","test  suite5","","","","","Partial update booking - total price & deposit paid",""
"skipped","Sun Feb 20 14:20:34 GMT 2022","Sun Feb 20 14:20:34 GMT 2022","1","test  suite5","","","","","Partial update booking - additional needs",""
"skipped","Sun Feb 20 14:20:34 GMT 2022","Sun Feb 20 14:20:34 GMT 2022","0","test  suite5","","","","","Get booking ID by existent lastname",""
"skipped","Sun Feb 20 14:20:35 GMT 2022","Sun Feb 20 14:20:35 GMT 2022","0","test  suite2","","","","","Create token - invalid password",""
"skipped","Sun Feb 20 14:20:35 GMT 2022","Sun Feb 20 14:20:35 GMT 2022","4","test  suite6","","","","","Update booking - valid",""
"skipped","Sun Feb 20 14:20:34 GMT 2022","Sun Feb 20 14:20:34 GMT 2022","0","test  suite5","","","","","Partial update booking - checkin & checkout date",""
"failed","Sun Feb 20 14:20:35 GMT 2022","Sun Feb 20 14:20:35 GMT 2022","211","test  suite4","","","","","(ProdTest)Get specific valid ID",""
"passed","Sun Feb 20 14:20:35 GMT 2022","Sun Feb 20 14:20:35 GMT 2022","174","test  suite4","","","","","(ProdTest) Get specific valid ID without Accept header",""
